cancer_loc,sex,race,survival_time,stage,survival_percent
16,1,2,0,2,
16,1,2,0,3,
16,1,2,1,1,
16,1,2,1,2,
16,1,2,1,3,
16,1,2,2,1,
16,1,2,2,2,
16,1,2,2,3,
16,1,2,3,1,
16,1,2,3,2,
16,1,2,3,3,
16,1,2,4,1,
16,1,2,4,2,
16,1,2,4,3,
16,1,2,5,1,
16,1,2,5,2,
16,1,2,5,3,
16,2,1,0,1,100
16,2,1,0,2,100
16,2,1,0,3,100
16,2,1,1,1,97.6
16,2,1,1,2,90.1
16,2,1,1,3,69.9
16,2,1,2,1,96.3
16,2,1,2,2,85.1
16,2,1,2,3,55.7
16,2,1,3,1,95.2
16,2,1,3,2,80.8
16,2,1,3,3,44.3
16,2,1,4,1,94.2
16,2,1,4,2,76.5
16,2,1,4,3,35.2
16,2,1,5,1,92.8
16,2,1,5,2,73.4
16,2,1,5,3,29.3
16,2,2,0,1,100
16,2,2,0,2,100
16,2,2,0,3,100
16,2,2,1,1,96
16,2,2,1,2,81.5
16,2,2,1,3,58.4
16,2,2,2,1,92.2
16,2,2,2,2,73
16,2,2,2,3,44
16,2,2,3,1,89
16,2,2,3,2,67.9
16,2,2,3,3,34.4
16,2,2,4,1,86.8
16,2,2,4,2,63.1
16,2,2,4,3,27.3
16,2,2,5,1,85.7
16,2,2,5,2,57.9
16,2,2,5,3,20.6
17,1,1,0,1,100
17,1,1,0,2,100
17,1,1,0,3,100
17,1,1,1,1,100
17,1,1,1,2,100
17,1,1,1,3,74.4
17,1,1,2,1,100
17,1,1,2,2,100
17,1,1,2,3,55.2
17,1,1,3,1,100
17,1,1,3,2,100
17,1,1,3,3,42.3
17,1,1,4,1,100
17,1,1,4,2,100
17,1,1,4,3,33.9
17,1,1,5,1,100
17,1,1,5,2,100
17,1,1,5,3,28.7
17,1,2,0,1,100
17,1,2,0,2,100
17,1,2,0,3,100
17,1,2,1,1,100
17,1,2,1,2,100
17,1,2,1,3,75.2
17,1,2,2,1,100
17,1,2,2,2,100
17,1,2,2,3,53.5
17,1,2,3,1,100
17,1,2,3,2,100
17,1,2,3,3,41.8
17,1,2,4,1,100
17,1,2,4,2,100
17,1,2,4,3,34.2
17,1,2,5,1,100
17,1,2,5,2,100
17,1,2,5,3,29
17,2,1,0,1,
17,2,1,0,2,
17,2,1,0,3,
17,2,1,1,1,
17,2,1,1,2,
17,2,1,1,3,
17,2,1,2,1,
17,2,1,2,2,
17,2,1,2,3,
17,2,1,3,1,
17,2,1,3,2,
17,2,1,3,3,
17,2,1,4,1,
17,2,1,4,2,
17,2,1,4,3,
17,2,1,5,1,
17,2,1,5,2,
17,2,1,5,3,
17,2,2,0,1,
17,2,2,0,2,
17,2,2,0,3,
17,2,2,1,1,
17,2,2,1,2,
17,2,2,1,3,
17,2,2,2,1,
17,2,2,2,2,
17,2,2,2,3,
17,2,2,3,1,
17,2,2,3,2,
17,2,2,3,3,
17,2,2,4,1,
17,2,2,4,2,
17,2,2,4,3,
17,2,2,5,1,
17,2,2,5,2,
17,2,2,5,3,
18,1,1,0,1,100
18,1,1,0,2,100
18,1,1,0,3,100
18,1,1,1,1,99.8
18,1,1,1,2,98.8
18,1,1,1,3,86
18,1,1,2,1,99.7
18,1,1,2,2,97.9
18,1,1,2,3,78.6
18,1,1,3,1,99.6
18,1,1,3,2,96.9
18,1,1,3,3,76.1
18,1,1,4,1,99.5
18,1,1,4,2,96.4
18,1,1,4,3,75.5
18,1,1,5,1,99.4
18,1,1,5,2,96.3
18,1,1,5,3,74.3
18,1,2,0,1,100
18,1,2,0,2,100
18,1,2,0,3,100
18,1,2,1,1,99
18,1,2,1,2,95.2
18,1,2,1,3,74.1
18,1,2,2,1,99
18,1,2,2,2,90.2
18,1,2,2,3,66.3
18,1,2,3,1,98.2
18,1,2,3,2,90.2
18,1,2,3,3,66.3
18,1,2,4,1,97.3
18,1,2,4,2,89.2
18,1,2,4,3,66.3
18,1,2,5,1,97.2
18,1,2,5,2,89.2
18,1,2,5,3,66.3
18,2,1,0,1,
18,2,1,0,2,
18,2,1,0,3,
18,2,1,1,1,
18,2,1,1,2,
18,2,1,1,3,
18,2,1,2,1,
18,2,1,2,2,
18,2,1,2,3,
18,2,1,3,1,
